Zvolen; 55 618; 29 270;52,62; 29 265; 29 098; 55 544; 25 285;45,52; 25 282; 24 762
Banska Stiavnica; 13 214; 6 762;51,17; 6 762; 6 726; 13 254; 5 695;42,96; 5 693; 5 572
Zarnovica; 21 308; 10 798;50,67; 10 787; 10 705; 21 365; 8 754;40,97; 8 754; 8 509
Ziar nad Hronom; 37 923; 19 387;51,12; 19 377; 19 267; 37 872; 15 962;42,14; 15 960; 15 647
Bardejov; 59 910; 28 536;47,63; 28 527; 28 382; 59 770; 24 056;40,24; 24 055; 23 373
Humenne; 50 160; 22 381;44,61; 22 378; 22 219; 49 988; 18 845;37,69; 18 840; 18 441
Medzilaborce; 9 265; 3 810;41,12; 3 810; 3 774; 9 339; 3 351;35,88; 3 348; 3 297
Snina; 29 508; 11 195;37,93; 11 190; 11 136; 29 568; 9 637;32,59; 9 637; 9 475
Kezmarok; 52 474; 22 579;43,02; 22 575; 22 403; 52 236; 16 606;31,79; 16 604; 15 924
Levoca; 25 706; 11 625;45,22; 11 623; 11 551; 25 596; 9 392;36,69; 9 392; 9 050
Poprad; 84 173; 42 696;50,72; 42 679; 42 434; 83 073; 34 834;41,93; 34 828; 33 891
Presov; 133 786; 68 121;50,91; 68 108; 67 741; 133 071; 57 634;43,31; 57 627; 55 864
Sabinov; 43 703; 19 896;45,52; 19 894; 19 719; 43 559; 16 174;37,13; 16 174; 15 579
Stara Lubovna; 39 869; 17 718;44,44; 17 713; 17 575; 39 741; 14 470;36,41; 14 466; 13 934
Stropkov; 16 141; 7 395;45,81; 7 395; 7 336; 16 102; 6 478;40,23; 6 478; 6 315
Svidnik; 25 789; 11 655;45,19; 11 655; 11 591; 25 608; 9 744;38,05; 9 744; 9 509
Vranov nad Toplou; 60 693; 24 673;40,65; 24 664; 24 510; 60 713; 20 190;33,25; 20 178; 19 707
Kosice I; 54 540; 27 548;50,50; 27 541; 27 403; 54 133; 24 320;44,92; 24 315; 23 912
Kosice II; 65 197; 30 123;46,20; 30 113; 29 977; 64 778; 26 481;40,87; 26 476; 25 992
Kosice III; 23 991; 10 956;45,66; 10 951; 10 891; 23 883; 9 661;40,45; 9 661; 9 487
Kosice IV; 47 660; 23 514;49,33; 23 509; 23 410; 47 452; 20 897;44,03; 20 896; 20 497
Kosice - okolie; 96 611; 41 016;42,45; 41 002; 40 680; 96 687; 33 640;34,79; 33 635; 32 929
Michalovce; 86 702; 32 803;37,83; 32 800; 32 574; 85 994; 27 176;31,60; 27 174; 26 667
Sobrance; 17 913; 7 700;42,98; 7 699; 7 658; 17 895; 6 457;36,08; 6 456; 6 327
Roznava; 47 830; 18 027;37,68; 18 025; 17 886; 47 786; 14 780;30,92; 14 780; 14 493
Gelnica; 23 915; 9 225;38,57; 9 221; 9 161; 23 877; 7 371;30,87; 7 371; 7 175
Spisska Nova Ves; 73 532; 31 943;43,44; 31 942; 31 752; 73 318; 26 107;35,60; 26 106; 25 376
Trebisov; 81 882; 27 454;33,52; 27 448; 27 177; 81 895; 22 623;27,62; 22 623; 22 129
